group_ic4fq86/STATE,LGABAYELSA,LGADELTA,LGAEDO,LGARIVERS,Type of Sub project Enterprise,CROP PRODUCTION,FISHERY,LIVESTOCK,POULTRY,PROCESSING,MARKETING,RURAL INFRASTRUCTURE,FORESTRY,Total Cost of Sub Project,IDA Amount,Beneficiary Contribution,Total Amount Disbursed,Date of disbursement
bayelsa,owan east,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,other,n/a,3300000,3000000,300000,3000000,25/09/2017
bayelsa,owan east,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,25/09/2017
bayelsa,owan east,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,25/09/2017
bayelsa,owan east,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,25/09/2017
bayelsa,owan east,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,25/09/2017
bayelsa,owan east,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,25/09/2017
bayelsa,owan east,n/a,n/a,n/a,crop productio,plantain,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,25/09/2017
bayelsa,owan east,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,25/09/2017
bayelsa,owan east,n/a,n/a,n/a,fishery,n/a,fish pond,n/a,n/a,n/a,n/a,n/a,n/a,1014000,720000,294000,720000,25/09/2017
edo,n/a,n/a,esan central,n/a,processing,n/a,n/a,n/a,n/a,palm kernel oi,n/a,n/a,n/a,939000,657300,281700,657300,06/07/2017
edo,n/a,n/a,esan south eas,n/a,crop productio,yam minisett,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1290000,775000,515000,775000,22/11/2018
edo,n/a,n/a,esan south eas,n/a,crop productio,yam minisett,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1290000,775000,515000,775000,22/11/2017
edo,n/a,n/a,esan north eas,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,rural market,n/a,1110000,999000,111000,999000,14/06/2018
bayelsa,ikpoba okha,n/a,n/a,n/a,rural infrastructure,n/a,n/a,n/a,n/a,n/a,n/a,other,n/a,3300000,3000000,300000,3000000,17/11/2015
bayelsa,ikpoba okha,n/a,n/a,n/a,crop productio,cassava,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1350000,950000,400000,950000,29/04/2015
