group ic4fq86/STATE,LGABAYELSA,LGADELTA,LGAEDO,LGARIVERS,Description of Sub project Component,Location of Sub Project,Status of Project,Physical Output,Name of Contractor,Contractor Amount,Beneficiary Wages,calculation,Amount Disbursed Till Date,1st Picture of Site,,Number of Male Beneficiaries,Number of female Beneficiaries,Number of Beneficiaries Present on Site,Are there working ma ls for Beneficiaries,Are the PPEs adequate for Beneficiaries,Have Beneficiaries Received th,Reasons for no Payment,Percentage Level of Work Done
rivers,n/a,n/a,n/a,omumma,MAINTENANCE OF OWAZA OMUMA ROAD,OWAZA ,completed,SPOT IMPROVEMENT USING REINFORCEMENT CONCRETE,CHIDI DAVIDSON INTL AGENCY NIG LTD,2.18E+07,1.51E+07,3.69E+07,3.69E+07,1572793200644.jpg,n/a,49,21,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,opobo nkoro,MAINTENANCE OF KING JAJA ROAD/WOMEN DEVELOPMENT CENTRE/OPUBO HOTEL TO SCHOOL ROAD,OPOBO/NKORO,completed,100%,I. GEORGE NIGERIA LIMITED,1.28E+07,1.06E+07,23366104,2.34E+07,1571224923453.jpg,1571224723553.jpg,34,15,49,yes,yes,yes,n/a,100
delta,n/a,uvwie,n/a,n/a,INTERLOCKING OF ABUS STREET AND SWEEPING OF REFINERY ROAD EFFURUN ,ABUS STREET ,completed,COMPLETED,MASANTTE PROJECTS LTD,2.80E+07,2.57E+07,5.37E+07,5.37E+07,1570023482348.jpg,1570023499885.jpg,32,68,0,n/a,n/a,yes,n/a,100
rivers,n/a,n/a,n/a,opobo nkoro,"MAINTENANCE OF OKPUKPO-MINIMA ROAD, MINIMA","MINIMA-OPOBO, RIVERS SOUTH EAST SENATORIAL DISTRICT",completed,100%,DE-OLIMAC SERVICES LIMITED,2.00E+07,1.40E+07,34077446,3.41E+07,1571221983527.jpg,1571222030079.jpg,52,22,74,yes,yes,yes,n/a,100
edo,n/a,n/a,ovia north eas,n/a,ASPHALT OVERLAY AND DRAIN CONSTRUCTION ,OKHUNMWUN ROAD IGUOSA,on going,n/a,ROCSOL INVESTMENT LIMITED ,4.88E+07,4.32E+07,91999236,79799427,1568632531961.jpg,1568632570077.jpg,70,80,n/a,not sufficient,yes,yes,n/a,70
edo,n/a,n/a,ovia south eas,n/a,CONSTRUCTION OF REINFORCED CONCRETE DRAIN AND LITERITE FILLING ,IMASABEMWEN STREET OFF MISSION ROAD IGUOBAZUWA ,completed,100%,DA JUSTA NIGERIA LIMITED ,2.54E+07,2.57E+07,5.11E+07,51104805,1568626798644.jpg,1568626848625.jpg,65,35,n/a,yes,yes,yes,n/a,100
edo,n/a,n/a,ovia north eas,n/a,DRAIN CULVERT AND CONCRETE PAVEMENT,AIBALEGBE STREET ISIHOR FROM 56 TO POWER LINE,completed,COMPLETED,JEZUWA NIGERIA LIMITED,2.63E+07,9720000,3.60E+07,36026366,1568634793432.jpg,1568634813698.jpg,30,40,0,yes,yes,yes,n/a,100
edo,n/a,n/a,ovia north eas,n/a,RECLAMATION OF FAILED PORTION USING CONCRETE PAVEMENT,OKOKHUO EMA VILLAGE ROAD FROM OKOKHUO NO DUGBO TO EMA,completed,COMPLETED,OSKING VENTURES,3.46E+07,2.16E+07,56234586,56234586,1568630215916.jpg,1568630340217.jpg,95,80,0,yes,yes,yes,n/a,100
edo,n/a,n/a,oredo,n/a,DRAINAGE CONSTRUCTION AND ASPHALT OVERLAY,OVONRAMWEN STREET BETWEEN IGUN AND APKAPKAVA BENIN CITY,completed,DRAIN AND ASPHALT OVERLAY DONE,MAS OGEYEMHE ENTERPRISE,1.72E+07,1.30E+07,3.02E+07,30209557,1568645285499.jpg,1568645304145.jpg,24,36,0,yes,yes,yes,n/a,100
edo,n/a,n/a,egor,n/a,DRAINAGE CONCRETE OVERLAY AND CLEANING,AGHAHOWA STREET OFF OKORO ROAD,completed,DRAINAGE CONCRETE DONE,WILOM J NIGERIA LIMITED,2.15E+07,1.30E+07,3.45E+07,34458560,1568642987751.jpg,1568643022242.jpg,29,31,0,yes,yes,yes,n/a,100
